"age_cat","flua_h1n1pdm_gm","flua_h3n2_gm","flub_victoria_gm","flub_yamagata_gm"
">40",5,10,20,113.137
"12-18",10,80,10,20
"5-11",40,28.284,20,113
"5-11",5,20,5,452.548
">40",5,7.071,10,7.071
">40",5,5,5,5
"12-18",20,56.568,14.142,56.568
"19-40",20,20,40,40
">40",10,56.568,57,56.568
"19-40",10,20,20,80
"12-18",40,160,20,80
"5-11",5,20,40,28.284
"<5",160,113.137,28.284,160
"19-40",28.284,5,14,56.568
"12-18",40,10,14,28.284
"12-18",5,40,40,113
"5-11",160,40,40,40
"5-11",113.137,40,14,160
"5-11",20,160,20,20
"<5",640,20,160,14.142
"<5",320,5,5,14.142
"<5",5,5,5,7.071
">40",5,80,7.071,10
"12-18",160,640,20,320
"12-18",80,320,14.142,40
"19-40",80,320,10,20
"12-18",40,80,14.142,40
"12-18",226,1280,10,80
"5-11",226.274,640,40,20
">40",5,113.137,10,5
"19-40",5,20,10,5
"12-18",20,320,10,14.142
"5-11",5,80,7.071,5
"19-40",80,40,7.071,20
"12-18",56.568,640,80,7.071
"19-40",40,5,10,5
"5-11",40,226.274,40,10
"5-11",113.137,40,80,10
"5-11",160,40,20,5
"19-40",5,5,5,5
"19-40",80,14.142,20,160
"<5",7.071,5,20,160
"<5",10,80,28.284,320
"19-40",640,14.142,80,160
"5-11",40,226.274,57,640
"5-11",40,160,57,160
"<5",160,1280,56.568,160
">40",28,10,56.568,226
"19-40",56.568,226.274,80,640
"19-40",40,160,113,113.137
"12-18",160,20,56.568,56.568
"12-18",14.142,226.274,14.142,56.568
"12-18",10,640,113.137,28.284
"5-11",20,640,20,5
"19-40",7.071,452.548,320,320
"12-18",28,20,160,28
"12-18",56.568,113.137,56.568,20
"19-40",160,5,10,40
"19-40",20,56.568,113.137,320
"5-11",160,1280,20,57
">40",5,20,5,40
"19-40",20,20,5,20
"<5",7.071,5,20,5
"19-40",80,80,20,160
">40",5,226,5,5
">40",14.142,10,20,20
">40",40,1280,80,40
"19-40",20,160,10,160
"12-18",40,160,10,80
"<5",5,160,5,5
">40",80,7.071,5,5
">40",20,5,10,20
"5-11",80,320,40,5
"19-40",5,5,5,7.071
"19-40",7.071,40,40,7.071
"12-18",80,160,10,160
">40",5,10,7.071,20
"12-18",113.137,1280,160,80
"5-11",28.284,80,10,40
">40",5,14.142,10,7.071
"19-40",80,14.142,14.142,10
"19-40",20,56.568,14.142,40
"12-18",56.568,113.137,40,56.568
"5-11",160,640,40,80
"<5",5,160,5,5
"<5",5,5,5,5
">40",320,7.071,5,10
"19-40",80,10,5,28.284
"<5",5,40,5,5
"5-11",80,80,20,10
"<5",5,40,5,5
">40",40,5,5,7.071
">40",14.142,10,160,40
"19-40",40,5,5,5
"19-40",80,20,160,80
"12-18",80,113.137,226.274,320
"5-11",20,20,80,80
">40",5,5,5,5
"19-40",40,10,40,160
"5-11",160,160,5,80
"12-18",80,320,40,160
">40",5,5,10,20
">40",40,5,5,7.071
">40",40,5,40,5
"19-40",160,320,40,113.137
"19-40",10,5,5,5
"19-40",226.274,160,10,5
"12-18",20,640,40,160
"<5",226.274,320,7.071,28.284
"<5",5,160,40,5
"<5",10,452.548,5,5
"5-11",5,160,5,5
"5-11",28.284,160,5,5
">40",28,80,20,20
"19-40",40,20,28.284,80
"<5",10,5,28.284,14.142
"19-40",40,40,20,226.274
">40",5,5,10,10
"19-40",40,5,7,7.071
"12-18",160,452.548,5,5
">40",80,640,10,5
"12-18",40,80,10,14.142
"19-40",40,40,160,56.568
">40",40,40,7,10
"12-18",20,160,80,40
"5-11",320,640,10,80
"5-11",226.274,160,80,640
"<5",5,160,20,10
">40",80,160,14.142,5
">40",160,160,20,113.137
"19-40",40,20,5,40
"19-40",160,57,5,20
">40",5,80,5,40
"12-18",80,320,5,80
"5-11",160,40,5,40
"5-11",320,160,20,28
"5-11",5,160,20,5
"19-40",5,5,7.071,5
"5-11",160,80,20,80
">40",40,226,56.568,320
"19-40",160,160,5,28.284
"5-11",57,113,5,20
"12-18",5,5,5,5
">40",320,640,20,80
"19-40",5,5,5,5
"19-40",40,56.568,80,5
"5-11",80,40,80,160
">40",160,5,80,14.142
">40",20,5,5,5
"19-40",56.568,5,5,14.142
"19-40",160,5,40,28.284
">40",5,40,5,10
">40",20,14,5,10
"19-40",57,7,5,20
"12-18",113,226,10,80
"5-11",320,320,10,5
"19-40",7.071,40,5,5
"19-40",20,5,5,5
"19-40",80,5,5,5
"5-11",160,640,5,40
"5-11",640,320,640,452.548
"5-11",226,20,80,5
"19-40",320,40,40,80
"19-40",5,40,20,28.284
"5-11",20,160,40,10
"5-11",320,160,320,160
">40",5,640,40,28
">40",80,80,7.071,10
"19-40",28.284,80,5,14.142
"5-11",160,113.137,28.284,5
"<5",5,80,5,5
">40",5,56.568,80,226.274
">40",7.071,20,57,80
"19-40",20,80,28,80
"12-18",40,40,20,40
"12-18",20,160,40,40
"<5",80,10,7.071,5
"<5",5,5,5,5
">40",5,80,40,80
"5-11",80,226,80,20
"12-18",28.284,113.137,5,905.096
"19-40",5,14.142,5,80
">40",5,28.284,5,10
">40",28,28.284,160,226.274
"19-40",5,40,80,160
"12-18",20,160,56.568,56.568
"5-11",56.568,640,56.568,40
">40",10,5,5,10
">40",80,28.284,28.284,80
">40",80,80,80,226.274
"19-40",160,80,80,80
"<5",5,5,20,10
">40",80,160,5,14.142
">40",5,10,7.071,5
"12-18",80,320,10,28.284
">40",20,160,10,5
"12-18",113.137,640,20,320
"5-11",80,320,5,80
"19-40",10,80,20,20
"12-18",160,80,40,80
">40",10,40,10,5
"19-40",40,320,5,5
"12-18",56.568,320,5,5
"12-18",80,160,5,5
"5-11",80,320,56.568,113.137
"5-11",56.568,320,14.142,5
"<5",160,320,5,5
">40",5,113.137,40,20
"19-40",56.568,226.274,14.142,5
">40",5,40,10,20
"19-40",5,10,14.142,20
"12-18",80,640,80,160
"12-18",320,160,40,80
"5-11",5,320,5,80
"5-11",5,160,5,40
">40",10,20,10,10
">40",5,5,56.568,113.137
"12-18",40,80,5,20
"12-18",160,5,5,226.274
"19-40",40,5,5,5
"5-11",7.071,5,5,20
">40",10,40,40,20
">40",5,10,5,5
"19-40",10,80,56.568,28.284
"5-11",10,160,80,5
">40",5,5,5,5
">40",5,5,28.284,5
"19-40",5,20,28.284,160
"12-18",6.71148507797052,15.7668938828099,101.899964437555,17.6958523239754
"19-40",7.071,10,7.071,28.284
"<5",5,5,160,5
">40",160,5,5,5
"12-18",5,10,7.071,5
"5-11",8.77333122669102,19.1037750075661,7.41992391836998,46.849926275791
">40",5,5,7.071,5
">40",40,5,80,56.568
">40",5,10,56.568,28.284
"12-18",7.071,160,56.568,28.284
"5-11",10,10,113.137,7.071
"5-11",5,80,113.137,113.137
">40",5,5,7.071,5
"5-11",80,7.071,5,5
"5-11",80,10,56.568,5
">40",28.284,5,28.284,7.071
"5-11",80,56.568,113.137,40
"5-11",14.142,10,40,56.568
"12-18",160,10,20,160
">40",1280,7.071,56.568,56.568
">40",18.4878956507642,26.0342294126647,69.6601102147554,68.6195532778202
"19-40",65.5686508859216,16.8073728248601,23.0300082312305,17.4850516222763
"19-40",26.3096721292494,39.1882737933561,17.7790082150462,36.4782452319037
"12-18",226.274,28.284,80,14.142
"5-11",73.8779569160415,8.19350413159019,76.1914539713929,8.42409249332773
">40",10,5,56.568,56.568
"12-18",40,14.142,56.568,28.284
"5-11",40,7.071,40,5
"<5",113.137,5,14.142,160
">40",160,80,5,10
"5-11",40,7.071,40,40
"5-11",10,113.137,10,14.142
"<5",40,452.548,40,5
">40",5,28.284,226.274,28.284
">40",5,113.137,20,7.071
"12-18",10,452.548,40,40
"<5",5,10,7.071,5
"19-40",40,320,56.568,40
"12-18",40,226.274,40,10
"5-11",160,113.137,7.071,80
"19-40",10,80,40,56.568
">40",5,10,14.142,20
"19-40",14.142,160,56.568,80
"5-11",20,226.274,40,40
"<5",160,320,5,5
"<5",5,5.2479543128836,17.8816913404005,175.876471472213
">40",320,226.274,113.137,80
"19-40",5,320,56.568,56.568
"12-18",113.137,640,40,40
"5-11",56.568,80,40,113.137
">40",113.137,28.284,56.568,56.568
"19-40",5,5,5,80
"5-11",54.4902542096393,137.714405852305,58.8188910784322,36.6649649973507
"19-40",20,40,40,80
">40",14.142,5,40,14.142
">40",10,5,160,40
"19-40",10,320,7.071,14.142
"12-18",160,20,80,14.142
">40",40,5,14.142,14.142
">40",20,5,14.142,14.142
"12-18",56.568,40,7.071,14.142
"12-18",28.284,28.284,160,28.284
"5-11",113.137,226.274,40,56.568
">40",80,56.568,28.284,40
"19-40",5,7.071,5,7.071
"5-11",113.137,10,56.568,14.142
"19-40",5,5,5,5
"5-11",160,5,5,7.071
"5-11",80,56.568,40,14.142
"5-11",56.568,5,10,14.142
"19-40",320,5,40,160
"12-18",452.548,28.284,56.568,80
"19-40",7.071,10,5,7.071
"19-40",5,5,40,56.568
">40",5,5,80,40
">40",40,28.284,14.142,56.568
"12-18",40,40,14.142,56.568
"<5",160,113.137,14.142,14.142
">40",40,5,20,28.284
">40",80,40,80,160
"19-40",1280,160,113.137,905.096
"<5",5,5,28.284,56.568
">40",40,28.284,40,56.568
"19-40",5,5,28.284,56.568
"19-40",320,113.137,56.568,160
"12-18",320,226.274,7.071,28.284
"5-11",226.274,7.071,5,7.071
">40",640,56.568,14.142,113.137
">40",40,56.568,7.071,28.284
"12-18",40,7.071,5,14.142
">40",56.568,5,5,5
"12-18",320,1280,40,40
"5-11",80,160,40,20
"19-40",5,28.284,40,40
"19-40",5,28.284,40,80
"12-18",10,56.568,20,40
"5-11",80,226.274,80,80
"5-11",80,226.274,20,5
">40",160,40,80,80
"19-40",80,7.071,40,40
"5-11",160,226.274,10,5
"5-11",452.548,80,5,14.142
">40",5,7.071,40,56.568
"19-40",160,320,14.142,56.568
">40",40,40,80,113.137
"12-18",5,226.274,5,56.568
"5-11",160,203.96,80,80
">40",5,40,113.137,80
">40",7.071,5,5,5
">40",40,160,14.142,40
"12-18",80,160,80,56.568
"5-11",80,113.137,5,5
"<5",5,226.274,14.142,20
">40",320,5,40,5
"19-40",7.071,226.274,5,7.071
"12-18",56.568,20,56.568,80
"12-18",113.137,226.274,10,14.142
"<5",5,66.5194279978659,50.3466004019515,51.6337962250374
"19-40",5,160,10,5
">40",7.071,5,40,56.568
">40",28.284,28.284,5,5
"19-40",88.8972540074642,9.55867938070551,23.0300082312305,28.5480403260239
"12-18",113.137,40,56.568,226.274
"<5",5,479.518711571533,308.104542944253,31.624375550995
"<5",5,479.518711571533,38.8669732739791,19.369239804784
"19-40",56.568,5,14.142,20
"19-40",19.4055836456957,374.596650883931,108.801528028698,46.6107063371761
"12-18",6.71148507797052,8.96693879679209,7.66085614259227,8.48223610555037
"5-11",21.8647913772337,748.660965814949,214.518598757401,36.6649649973507
"<5",28.284,905.096,320,113.137
"<5",5,226.274,226.274,7.071
">40",160,56.568,5,14.142
"19-40",80,160,14.142,40
"19-40",80,56.568,40,113.137
">40",20,5,14.142,28.284
"12-18",160,640,80,40
"<5",5,361.621566764408,308.104542944253,31.624375550995
">40",40,56.568,5,10
">40",160,5,20,28.284
"19-40",160,40,40,56.568
"5-11",160,28.284,40,56.568
">40",40,160,160,160
"12-18",320,1280,40,56.568
"12-18",640,113.137,56.568,56.568
"5-11",1280,452.548,226.274,7.071
">40",80,7.071,5,14.142
">40",20,7.071,28.284,56.568
"19-40",160,5,5,10
"12-18",320,320,226.274,80
"19-40",5,452.548,452.548,80
"19-40",163.407925056931,374.596650883931,23.0300082312305,97.2417361372597
"<5",5,320,28.284,113.137
"<5",5,320,113.137,5
">40",226.274,56.568,40,113.137
"5-11",226.274,320,14.142,14.142
">40",160,160,28.284,160
"19-40",160,28.284,80,80
"12-18",452.548,640,5,40
"12-18",80,160,14.142,20
"5-11",905.096,226.274,5,56.568
"5-11",905.096,113.137,5,113.137
"5-11",905.096,226.274,56.568,20
">40",5,5,28.284,28.284
"<5",234.424617014425,116.963524136328,5,31.624375550995
"19-40",452.548,28.284,7.071,14.142
"12-18",160,113.137,14.142,28.284
">40",28.284,160,160,113.137
"19-40",28.284,452.548,56.568,80
"12-18",160,226.274,1280,1280
">40",5,7.071,10,56.568
">40",226.274,40,56.568,56.568
">40",226.274,56.568,7.071,56.568
"19-40",20,56.568,28.284,80
"12-18",160,452.548,20,10
"19-40",160,56.568,7.071,5
"5-11",160,113.137,5,5
"<5",5,5.2479543128836,5,5.68646100097843
">40",20,28.284,56.568,28.284
">40",40,5,10,10
"19-40",80,320,80,10
"12-18",80,14.142,80,20
"12-18",80,113.137,80,80
"<5",5,5,80,80
"<5",5,5,80,80
">40",20,5,14.142,7.071
"19-40",35.6706873959862,16.8073728248601,8.17966284636687,28.5480403260239
"12-18",80,56.568,80,113.137
"12-18",56.568,320,7.071,28.284
"19-40",40,5,113.137,160
"12-18",320,226.274,226.274,113.137
">40",5,28.284,28.284,28.284
"19-40",160,160,113.137,113.137
"12-18",10,905.096,20,56.568
"12-18",56.568,226.274,28.284,28.284
"5-11",28.284,160,160,113.137
"<5",113.137,160,113.137,7.071
">40",56.568,5,20,20
"19-40",5,80,56.568,160
"12-18",56.568,56.568,40,7.071
">40",80,1280,20,20
">40",5,5,40,5
"19-40",221.546955633745,39.1882737933561,50.0571616735391,46.6107063371761
">40",7.41833889151773,80.4918170277126,53.7767718249829,68.6195532778202
"19-40",40,14.142,20,28.284
"19-40",5,226.274,160,160
"<5",160,452.548,5,5
">40",80,226.274,28.284,28.284
">40",56.568,28.284,113.137,160
"12-18",113.137,452.548,80,113.137
"5-11",320,226.274,320,226.274
"5-11",160,160,56.568,40
"19-40",28.284,160,40,28.284
"12-18",20,160,5,7.071
"5-11",320,160,113.137,160
"5-11",40,14.142,113.137,56.568
"5-11",5,320,160,56.568
"<5",5,5,160,5
">40",80,56.568,80,56.568
">40",5,7.071,20,28.284
"19-40",226.274,5,40,113.137
"19-40",56.568,28.284,5,7.071
"19-40",56.568,20,40,113.137
"12-18",113.137,160,40,40
"5-11",249.622894813964,137.714405852305,58.8188910784322,36.6649649973507
">40",5,14.142,56.568,40
"19-40",20,113.137,80,56.568
"12-18",5,56.568,28.284,7.071
"12-18",56.568,14.142,20,28.284
">40",160,10,80,20
">40",5,40,28.284,40
"19-40",640,452.548,160,10
"12-18",226.274,226.274,160,226.274
"12-18",28.284,80,40,40
"12-18",40,80,28.284,7.071
"5-11",160,160,80,10
"12-18",640,640,320,113.137
"12-18",905.096,160,56.568,80
">40",56.568,5,56.568,40
"19-40",40,113.137,80,40
"12-18",80,80,56.568,56.568
"5-11",226.274,160,40,20
"5-11",160,113.137,80,5
">40",33.9838243676994,26.0342294126647,53.7767718249829,25.7410587620277
"19-40",1280,80,320,1280
">40",20,5,40,20
"19-40",40,56.568,28.284,40
">40",320,28.284,56.568,20
"19-40",320,28.284,80,80
"12-18",20,40,14.142,5
"12-18",226.274,160,20,7.071
"12-18",80,20,20,40
"12-18",28.284,80,20,28.284
"5-11",40,56.568,28.284,40
"5-11",160,226.274,113.137,7.071
"5-11",160,56.568,80,7.071
"19-40",20,56.568,20,20
"12-18",40,113.137,56.568,160
"19-40",20,113.137,56.568,226.274
"5-11",452.548,226.274,113.137,40
"<5",160,113.137,5,40
"19-40",10,7.071,14.142,14.142
"19-40",40,226.274,14.142,28.284
"12-18",20,40,113.137,80
">40",5,56.568,10,14.142
"19-40",5,113.137,5,40
"19-40",28.284,113.137,28.284,40
">40",5,14.142,7.071,56.568
"19-40",28.284,56.568,20,28.284
"12-18",40,226.274,28.284,320
"12-18",22.6771340681181,351.403873446384,7.66085614259227,17.6958523239754
">40",14.142,7.071,28.284,7.071
"19-40",28.284,14.142,56.568,20
"12-18",113.137,320,113.137,56.568
"19-40",320,905.096,56.568,160
">40",7.071,28.284,7.071,28.284
">40",80,56.568,14.142,40
"19-40",226.274,28.284,7.071,20
"19-40",905.096,226.274,56.568,80
"19-40",20,80,28.284,10
"5-11",7.071,320,7.071,20
">40",5,5,7.071,28.284
"19-40",20,56.568,56.568,452.548
"12-18",320,113.137,14.142,80
"5-11",14.142,5,10,20
">40",5,5,5,5
"19-40",113.137,113.137,80,160
"12-18",320,28.284,10,320
"5-11",28.284,28.284,28.284,5
">40",7.071,10,28.284,56.568
"19-40",14.142,56.568,5,5
"19-40",40,40,5,28.284
"5-11",320,113.137,5,5
"<5",20,14.142,5,160
">40",10,40,7.071,20
"19-40",14.142,14.142,10,5
"19-40",14.142,10,5,5
"<5",7.071,5,5,56.568
"19-40",5,20,5,5
"12-18",28.284,80,20,28.284
"5-11",14.142,28.284,7.071,28.284
"5-11",5,7.071,5,7.071
"<5",5,5,14.142,56.568
"12-18",40,320,28.284,80
"19-40",40,56.568,7.071,14.142
"19-40",28.284,14.142,20,226.274
"5-11",100.162919516893,44.542592901601,98.6952331877906,6.59282246454079
"<5",127.531787194981,5.2479543128836,38.8669732739791,5.68646100097843
"19-40",28.284,5,5,14.142
"12-18",160,113.137,40,80
"5-11",160,80,28.284,160
">40",7.071,80,40,113.137
"5-11",56.568,20,28.284,113.137
"<5",80,28.284,28.284,113.137
"19-40",5,5,7.071,1280
"19-40",56.568,5,5,28.284
"19-40",14.142,5,5,10
">40",5,5,5,5
"19-40",40,7.071,7.071,5
"5-11",100.162919516893,8.19350413159019,7.41992391836998,22.4564908269107
"19-40",35.6706873959862,7.20858985342566,6.31464355035076,36.4782452319037
"5-11",40.1911198568229,59.0640295798436,9.6113859023109,22.4564908269107
"5-11",160,160,20,10
"<5",5,5,5,28.284
">40",28.284,28.284,5,40
"19-40",56.568,5,5,10
"19-40",80,56.568,7.071,40
"12-18",226.274,56.568,7.071,160
"<5",5,5,10,5
"19-40",28.284,28.284,5,28.284
">40",5,5,5,7.071
"19-40",28.284,113.137,20,14.142
"5-11",14.142,14.142,5,10
">40",5,113.137,10,80
">40",80,5,5,7.071
">40",160,28.284,5,5
">40",7.071,5,5,7.071
"19-40",56.568,7.071,7.071,56.568
"19-40",113.137,7.071,5,5
"12-18",28.284,56.568,7.071,7.071
"12-18",160,40,7.071,14.142
"5-11",14.142,28.284,14.142,20
"5-11",226.274,7.071,5,14.142
"12-18",10,28.284,5,10
">40",7.071,7.071,7.071,10
"19-40",80,80,5,7.071
"12-18",28.284,28.284,5,40
"5-11",56.568,56.568,5,28.284
"5-11",113.137,113.137,20,113.137
"5-11",80,80,14.142,5
"<5",5,5,5,40
"5-11",80,80,5,40
"19-40",35.6706873959862,39.1882737933561,10.5956641866744,36.4782452319037
"12-18",226.274,226.274,5,20
"5-11",80,80,5,20
"5-11",80,80,5,10
">40",80,80,7.071,14.142
">40",28.284,28.284,7.071,10
"19-40",80,80,5,28.284
"12-18",80,80,14.142,226.274
"19-40",14.142,14.142,5,40
"12-18",113.137,113.137,40,20
"5-11",5,5,20,5
"<5",94.0646291587726,16.225344396438,13.804542927118,5.68646100097843
">40",80,80,7.071,14.142
"19-40",5,5,7.071,80
"5-11",5,5,5,5
"19-40",10,10,5,20
"12-18",160,160,20,20
"5-11",40,40,10,28.284
"5-11",80,56.568,56.568,56.568
"5-11",160,320,56.568,40
"<5",905.096,160,7.071,7.071
">40",7.071,28.284,20,20
"12-18",113.137,80,10,40
"5-11",160,28.284,80,40
"5-11",73.8779569160415,78.3208574810381,58.8188910784322,17.574790081623
"19-40",7.071,160,5,5
">40",5,5,14.142,14.142
"19-40",5,7.071,10,5
">40",5,5,5,5
"19-40",40,56.568,80,320
"12-18",7.071,226.274,40,160
">40",28.284,14.142,5,40
"19-40",40,28.284,5,226.274
"12-18",40,113.137,5,80
"5-11",80,40,7.071,40
"19-40",14.142,20,5,20
"5-11",80,160,40,56.568
"5-11",135.799961223572,103.855173966264,45.4071297034714,22.4564908269107
">40",5,113.137,10,20
"19-40",10,10,5,14.142
"19-40",20,56.568,7.071,40
"5-11",5,5,7.071,10
"5-11",40.1911198568229,59.0640295798436,20.8909477229938,76.4924012513956
">40",5.47164537681268,6.35028578922799,11.3829988807004,25.7410587620277
">40",56.568,56.568,10,10
">40",5,160,20,5
"5-11",160,160,5,40
"<5",5,20,5,5
">40",40,5,10,5
"19-40",48.361549291588,68.90616389301,396.81090703396,423.234295513513
"19-40",7.071,7.071,20,28.284
"19-40",40,80,80,320
"19-40",160,160,80,56.568
"12-18",5,160,80,14.142
"5-11",113.137,80,28.284,56.568
">40",40,56.568,56.568,28.284
">40",40,80,20,14.142
"19-40",7.071,40,56.568,20
"12-18",12.3368248309406,265.006081443948,27.939752832505,13.8490422348883
"12-18",41.6843407108826,199.850208263585,36.1922299283276,13.8490422348883
">40",20,113.137,5,5
"19-40",160,10,80,5
"19-40",56.568,56.568,5,20
"12-18",160,320,5,40
"5-11",80,160,20,226.274
"<5",56.568,640,5,5
"<5",5,80,5,5
"<5",172.906419255583,155.096386801668,5,5.68646100097843
"19-40",20,40,20,80
"12-18",226.274,20,5,7.071
"5-11",80,160,5,80
"5-11",458.848360882209,182.61232112933,127.845547217071,46.849926275791
"19-40",35.6706873959862,51.9641361612471,50.0571616735391,59.5584410272048
"19-40",80,80,40,80
"5-11",226.274,452.548,1280,1280
">40",10,56.568,7.071,28.284
"19-40",10,56.568,14.142,7.071
"19-40",7.071,226.274,56.568,40
"5-11",20,113.137,7.071,160
">40",5,28.284,7.071,7.071
">40",5,113.137,113.137,28.284
"19-40",56.568,160,20,5
"5-11",56.568,80,160,80
"<5",127.531787194981,116.963524136328,5,19.369239804784
">40",80,56.568,226.274,40
"19-40",10,452.548,80,80
"12-18",40,226.274,113.137,452.548
"19-40",65.5686508859216,282.496229090613,29.8323094750599,36.4782452319037
">40",14.142,56.568,5,5
"19-40",226.274,28.284,28.284,14.142
"5-11",40,113.137,14.142,56.568
"<5",94.0646291587726,28.529611845037,6.35111393876647,5.68646100097843
"19-40",20,80,10,14.142
"19-40",80,14.142,20,20
"12-18",20,452.548,14.142,80
">40",5,56.568,20,7.071
"19-40",88.8972540074642,121.160208471733,38.6432316390861,124.253080511935
"12-18",160,226.274,10,113.137
"19-40",40,80,40,113.137
"12-18",40,226.274,28.284,56.568
">40",5,113.137,20,28.284
"19-40",14.142,113.137,28.284,80
"12-18",14.142,113.137,40,28.284
"5-11",113.137,226.274,320,56.568
"19-40",10,452.548,28.284,14.142
"5-11",40,113.137,160,56.568
">40",7.071,113.137,5,7.071
"5-11",10,113.137,7.071,113.137
"12-18",10,226.274,56.568,20
">40",56.568,14.142,7.071,7.071
">40",5,28.284,14.142,28.284
"<5",15.1450963166875,37.8306184743043,5,24.7497156191971
"5-11",80,56.568,56.568,113.137
"12-18",20,113.137,20,28.284
">40",28.284,452.548,5,226.274
"19-40",14.142,80,5,160
">40",14.142,40,80,28.284
"12-18",80,56.568,14.142,28.284
"19-40",80,56.568,28.284,226.274
">40",14.142,14.142,7.071,5
"19-40",14.142,113.137,20,56.568
"19-40",20,226.274,20,40
">40",5,113.137,14.142,20
">40",28.284,56.568,113.137,80
"5-11",40.1911198568229,103.855173966264,7.41992391836998,46.849926275791
"5-11",135.799961223572,103.855173966264,7.41992391836998,124.890003343036
">40",320,226.274,40,28.284
"19-40",5,14.142,226.274,160
"19-40",7.071,56.568,14.142,56.568
"19-40",28.284,226.274,20,56.568
"12-18",40,226.274,20,320
"<5",5,5,7.071,113.137
">40",14.142,56.568,40,28.284
"19-40",28.284,56.568,56.568,56.568
"19-40",5,40,56.568,56.568
"19-40",20,80,10,10
">40",5,80,40,40
">40",113.137,5,56.568,40
"5-11",40,10,80,5
">40",80,14.142,452.548,5
">40",20,56.568,5,113.137
"12-18",40,1280,14.142,20
"12-18",20,905.096,20,40
"5-11",40,113.137,160,160
"5-11",320,452.548,80,160
"5-11",40,160,20,80
"12-18",56.568,640,40,80
"19-40",40,320,40,56.568
"19-40",5,56.568,14.142,40
"12-18",5,160,40,14.142
"5-11",5,20,80,80
">40",56.568,320,56.568,40
">40",80,56.568,56.568,40
"19-40",5,113.137,20,7.071
"5-11",113.137,80,80,7.071
"5-11",28.284,5,7.071,7.071
">40",113.137,226.274,14.142,113.137
"19-40",80,226.274,113.137,14.142
"12-18",28.284,160,28.284,10
"5-11",160,160,14.142,160
"5-11",20,14.142,10,10
"5-11",113.137,56.568,7.071,7.071
">40",80,28.284,14.142,40
"12-18",28.284,320,14.142,28.284
"<5",160,320,7.071,40
"5-11",452.548,160,20,113.137
