"TYPE","meanwp","meanct","meanwc"
"BVic",2.59594961154976,21.247847230056,5.34754521938428
"BVic",2.19056017849657,18.6410259772879,9.02314525546251
"BVic",1.48786775060665,20.0773076015116,9.16562997812066
"BVic",1.88996543341361,21.3427157283012,2.74621185742505
"BVic",1.79706022078846,21.2088306676333,2.43782884728068
"AH1",2.15414561501024,19.7771055818902,1.99998201248404
"BVic",2.52553198810657,21.9960161022094,6.32517983952996
"BVic",2.18027259906142,22.9220529181457,3.48341013865233
"BVic",2.20691973459301,18.0049734229591,7.13998097125086
"BVic",2.17447881278736,19.1871978064095,6.29963071036015
"BVic",1.67062479994663,20.914731221703,2.52633402665628
"AH3",2.89876685346319,21.6017691506095,1.56573314915609
"AH1",2.55440466975025,24.8938654980646,1.73485067739161
"BVic",1.83654689146094,17.911409642895,5.60567432780726
"BYam",2.52215007332599,22.0370434198814,3.25591472878321
"BVic",2.5006475315974,21.3413954197679,4.7081465514279
"BVic",2.1787480071196,19.46017471786,2.49207293435365
"BVic",2.27581023832919,17.1516330527065,3.68585319344321
"BVic",2.1784484503157,21.0901198245711,2.96732703090903
"AH3",9.23789825246353,16.0682993786714,3.76538151412241
"BVic",1.65454906148575,21.0884539361262,2.24551881265437
"AH3",1.7367986896916,18.1754353637123,2.515683754728
"BVic",4.69095129624188,16.0556857610723,8.64900103946385
"AH3",2.00901923344158,18.3267819678708,3.52289965797856
"AH1",2.14164164350706,19.2954168067265,4.47164260253957
"BVic",1.36331841675052,19.3347891557675,2.93569216811593
"BVic",2.20510563674901,18.9766598895063,8.49128052540265
"BVic",1.80942251508358,19.611790012735,10.790383959263
"BVic",2.04700850842985,21.383876626676,3.03936910420783
"BVic",1.14507816330455,20.5519864046294,1.31100521216298
"BVic",1.65385169489748,20.4022542497572,2.58338824150549
"BVic",2.33363288060898,15.4332571580098,8.62327292614534
"BVic",9.68922853140242,22.8956841075294,3.06143792440395
"BYam",3.94046786027406,6.83322634633369,6.23119796275699
"BVic",1.86102994064086,17.1603985255952,4.40345434031639
"BVic",4.52303400551731,15.4566675777412,3.97644774276663
"AH3",5.12270565940967,16.6996556811515,6.40463944939054
"AH3",3.13871252777534,23.4917830643666,14.653092501982
"BVic",2.02175471291985,21.1518046332079,3.12193344437582
"AH3",2.20737672640139,18.1996905414078,3.28801389636302
"AH1",2.43398902596968,21.6385718074709,2.54031194577683
"BVic",2.0011314568452,20.3828566560765,3.21230576590322
"BVic",2.15056265497514,22.3866110426836,5.79603020673122
"BVic",2.15058482836699,17.3962521470859,6.40992873403963
"BVic",1.43383685980814,21.0569021063909,1.43416035878215
"BVic",1.71529819486325,21.1993195336516,2.43943783294253
"BVic",1.85218406044555,21.2051363897784,2.37176460569989
"BVic",1.34680712793582,21.1437405390746,2.18391786295341
"BVic",2.23569366887666,19.0088878348483,4.39974766105836
"BVic",3.32828944469023,16.4995857103745,9.5629385085318
"BVic",1.23406837318625,20.8576680554992,1.23979130024115
"BVic",1.80870869038223,20.52936235127,5.17832210193691
"BVic",1.95818365487589,20.3361670070714,2.33195132169971
"BVic",1.90324772126043,23.6024455498528,11.025840989967
"BVic",2.03911239335839,22.7623692126764,4.76666365311802
"BVic",1.48055285820518,21.0596022430173,2.79957912910268
"AH1",1.58124240696477,22.4368262329174,1.21980676471473
"BVic",1.66292440857402,20.2839897724789,10.7036262672946
"BVic",2.12579087059233,22.9607695723622,4.71664876787248
"BVic",1.51525462164528,20.2763012580123,27.5964061607502
"AH3",1.43785308971716,20.3670463701405,2.40802791747163
"BVic",1.50515370707684,20.5580976315119,1.65804531396266
"AH3",2.44343716283894,20.9910640520407,2.80222972341365
"BVic",2.97325653793724,19.087586056569,6.48162766209302
"AH3",1.95800212260399,20.2245583975229,2.71119840692912
"BVic",1.56942634973049,21.3855710896306,9.30798802453682
"BVic",1.58744931203186,21.2472650834493,1.72829555743301
"BVic",1.91618542747876,21.4451875033571,5.46657136226746
"BVic",1.95841588429009,19.8817097706618,2.20298693945431
"BVic",1.64025840623183,21.0291795001386,2.59168333837831
"BYam",2.28309171486164,17.4407379263458,5.7594028943755
"AH3",1.37228662627844,19.9516572670246,1.86981931452639
"AH3",2.00927089757792,14.8121075721583,1.98989246650053
"AH3",1.29584290086136,20.2334293368062,1.69433676087816
"BYam",2.13000401502112,17.0135076581555,6.1904866828028
"AH3",1.45585009835119,20.2721703203008,2.01084196577839
"BYam",1.78145791344524,20.8138138689455,1.73753681324891
"AH3",1.79776652254879,19.7861775841836,2.28557367025648
"AH3",2.13027968143738,20.2183085709969,2.57205107932523
"AH3",1.71961306495956,17.9859807879383,2.37921223765257
"AH3",1.70357643229191,17.5787220066634,2.44745033970003
"AH3",8.17573956772556,19.3615830006214,6.23422286015558
"AH3",1.97407321199334,14.9344553629209,2.54819971979765
"AH1",2.20439267336633,14.1912691608163,3.30805962934226
"AH3",2.26853573506643,11.5360233523605,6.45905549848853
"BYam",1.95582179916064,17.5617631847113,2.45869556779427
"AH3",2.21924977172139,21.0973577529534,3.82646400345919
"AH3",1.75184278813007,19.806128867551,2.40279921238285
"AH3",1.75607572827042,17.8029307577831,2.49467499240382
"AH1",1.31458298518363,21.5514451479567,0.869888241296509
"AH3",1.39808500874107,20.1291483538182,2.06835405778036
"AH3",3.03795088431724,21.0641149515058,3.02416433010652
"AH3",2.54421882420949,18.5867901573845,5.4763686828058
"AH3",2.03676991092168,16.3817467055867,1.92876847907376
"AH3",3.13683803073897,17.9236792817193,9.78275353139387
"AH3",1.27305314647716,19.1911209032989,1.29965925100409
"AH3",1.90154880237322,16.0001005836138,4.7193673247607
"AH3",1.42103557707378,20.0858873788344,1.94511529468502
"AH3",2.24061894149356,17.4296374929195,6.17045877764979
"AH3",2.00047162160917,20.2353103289019,2.75676166004178
"BYam",1.5281142481687,21.112578988606,1.79167780755457
"AH3",2.32907468226121,18.8901173497055,11.268912359903
"AH3",2.46256391060389,17.2628253076931,5.18266125121523
"AH3",1.45036160241712,20.1697055477556,1.96089530067381
"BYam",1.78686287250297,17.6205125842422,2.78129262144624
"AH3",1.80159054169984,19.9288871529668,2.24311298863781
"AH3",2.41340271026858,14.8438857942521,9.42640630421433
"BYam",2.87215290017306,8.02220348258219,5.4459053022602
"AH3",3.10888480843818,14.8690879391925,5.15166643785729
"AH3",1.33185758996866,18.4542229657224,2.34390630048655
"AH3",1.97493476775688,18.2941360646717,6.36401963121448
"AH3",1.4540599079235,20.1114194790112,1.63795423896665
"AH3",1.49137030791337,20.4143210424877,2.15452983810337
"AH3",3.7921604075759,20.6631135304353,5.36808150605056
"AH3",1.21777323451967,19.8943551852075,1.37792989241257
"AH3",1.53304179035722,20.2753556003603,2.07687386068043
"AH3",3.44767343905112,20.3628979148874,2.71758507035184
"AH3",1.53625873281781,20.1153823602012,1.97556228455461
"AH3",1.50340667410712,20.2153041314194,1.43513555375536
"AH3",1.75088416482688,18.7374600717442,2.45723345316508
"AH3",1.78605770327019,18.783908387129,10.3235749533518
"AH3",2.59677137527677,20.8816205676483,2.8321926322003
"AH3",1.73524163198924,19.7090321903364,2.39567150409365
"BYam",1.80774635590675,21.1571649605141,1.89270782396871
"AH3",1.73022989114019,20.128867629605,5.14030253349611
"AH3",3.04772638870393,14.8564746885592,5.1863376609129
"AH3",1.36734005370791,20.0987245497273,1.5976590699257
"BYam",4.20876266546036,14.8893939136124,8.52158402822519
"BYam",2.02119913270304,22.1120680191894,5.10284013354464
"BYam",1.94938880491133,17.13682217397,5.67033074123897
"BYam",2.94081328592241,19.1844156504011,12.0566544676288
"AH3",1.28034551395738,19.1002230944017,1.26981786383821
"AH3",1.97980358521865,18.2950895112451,2.08254681320428
"BYam",1.72795441601562,20.7778698628626,2.46898907239571
"AH3",1.91993049488581,18.3267700105712,3.6815819044323
"AH3",1.74243180356392,20.1670383144735,8.12657104521376
"AH3",1.16091042712996,19.14842446682,1.4337220310862
"AH3",2.38865202134343,20.7041356549628,4.21447679340397
"AH1",2.12861596810848,23.5230359103753,2.33152164681648
"AH3",1.96102142660921,18.4624091986565,2.07571502267091
"BYam",1.98140524086773,15.5884727682592,2.31557146850517
"AH3",2.65473181516971,19.5013091356085,4.75738908689186
"AH1",2.38789943564055,22.5977607552655,2.52946095556005
"AH3",2.16075905110653,17.0946141867711,1.49647915103376
"AH3",1.99725415679512,23.6180952409482,12.6396885156277
"AH3",1.73180177077206,19.1280064653269,2.41947205902299
"AH3",2.28028007926941,21.0773890181947,2.78289126136566
"AH3",2.64979134275121,19.3376862929858,4.94116315655049
"BYam",1.52616731897681,21.2010723090089,2.19582671031303
"AH3",9.58322169924778,20.6269170039839,5.34535602121052
"AH3",1.53560267949947,20.328143934178,1.76436593402392
"AH3",1.58723019064723,20.2279174119699,1.97573584419599
"AH3",3.22549993495654,20.609193714244,6.09433954484522
"AH3",1.67239397835738,19.2378923902526,2.09625803010562
"AH3",1.66969054602146,18.6032092053169,9.73206525191135
"AH3",2.99068790260019,18.1694243565475,3.9558378152139
"AH3",3.48770922562233,14.8206438659813,9.2069485499541
"AH3",1.8251033468584,18.5780098968576,14.3447871419042
"AH3",4.47689817798678,19.9351508314531,7.45445649636892
"BYam",1.84894143475962,21.5063864131277,2.43691335937509
"AH3",1.72575156075659,20.2413311325109,2.16339644685752
"AH3",1.33609171398783,20.5220881945779,11.6342082679123
"AH3",1.5027279194299,19.8245344547092,8.58434721357871
"AH3",2.1359173477617,19.9122791246294,17.4602866871703
"AH3",2.99578696638272,18.3599115467621,4.54086900655179
"AH3",13.382074102995,18.2651492421902,2.26364774622054
"AH3",1.78823720207161,20.2912851374368,2.18925945085201
"AH3",1.56604783436899,19.6936594169272,1.87698805091292
"AH3",1.32555879234786,19.3225369288668,12.1398309199408
"AH3",1.58222900346309,20.4886062240771,2.19648867329264
"AH3",1.14088765220798,19.7685744552773,1.36818350453666
"AH3",1.89808859281367,20.2460276214642,1.95930618919753
"AH3",2.13498264809671,21.5883219584754,4.81660909050652
"AH3",2.08011222103247,21.5718438707411,4.65944983102438
"AH3",2.38270259532922,13.6877950779938,12.4892648600655
"AH3",1.46961481622749,20.5264405815573,1.89877220579074
"AH3",1.37948439902735,19.7864937016552,1.80342135988836
"AH3",3.07148483765985,20.3285000875901,3.26618634497519
"AH3",1.65131127897412,19.8228141616786,2.15565033017087
"BYam",1.49556984517009,19.2044151566308,1.73068694317566
"AH3",1.48791764152998,20.05737096328,1.74141209473278
"BVic",1.62277920281336,20.5865957055762,3.01795111494379
"AH1",2.24245438024818,20.4181833132463,2.39542241685086
"BVic",1.4306144903575,20.661767437546,2.3223105565875
"BVic",1.70200198089085,21.2200112965338,2.42648420543239
"BVic",1.10436289156164,20.5880493864775,1.35320078743305
"BVic",1.26554635924382,20.4791181536878,1.39967759320727
"AH1",3.76953857618319,19.7192614830832,2.95874169113532
"BVic",1.3562767750946,21.085617445902,1.6414728824894
"BVic",2.05883942825004,18.0559316702419,1.52882087895645
"BVic",1.54402118040694,20.7944530018472,2.01569192799666
"AH1",2.03925424354765,23.6438162004041,2.07205511001811
"BVic",2.18919151586232,20.2270539685242,6.03909112868802
"BVic",1.79646990518112,20.7434547567529,2.34458727065985
"AH1",2.02305610350707,22.7164190366436,2.18089375151671
"BVic",1.16877126675404,20.7124572910393,1.70844559719211
"BVic",1.69079080677874,21.5799172032255,7.2512830111161
"AH1",1.28480572622953,21.5875120429855,1.08965705725232
"AH1",2.63196488760028,20.4447418069382,4.88048280326606
"BVic",3.87261917477513,20.8961466240434,7.79803939748436
"AH1",1.91677166524614,18.3586637948424,8.7590904525422
"BVic",1.50300782878836,21.2201313400155,7.88032223925877
"AH1",2.54716632895428,15.5108607262152,10.3831385765243
"BVic",1.5131654709999,21.1450709416196,14.1796549773517
"AH1",2.04618018222813,24.5621426482504,2.51548941151033
"BVic",3.64451422112564,21.6110864063858,5.59690459339722
"BVic",1.20002422943519,20.5462996942379,1.51569458817016
"BVic",2.84179926311407,16.2465028695616,9.46171017170487
"BVic",1.14840846642315,20.4227508687292,1.26152649920388
"BVic",1.44102930697607,20.3635523934338,1.47731250859612
"AH1",3.4053010862427,22.7658958290999,2.91083072165129
"AH1",1.81768659049182,22.4820965415223,1.17641991954129
"BVic",2.74195850621307,21.7560638747638,3.54264510388837
"AH1",2.68928463172117,22.5249125996531,13.5431163873767
"BVic",1.66838559319101,20.7223757770509,2.58522812448756
"BVic",1.18869713245068,20.6887832120169,1.42270201934476
"AH1",3.08482417447343,21.8943660186805,3.51396225051297
"AH1",2.2094490353411,19.8605044165917,1.96450184099547
"AH1",2.20512039686301,18.7585269830039,1.96082324646181
"AH1",2.71431754183605,24.077865652568,2.76977480621674
"AH1",2.50223979931351,23.4849281112743,10.5633431799868
"BVic",1.02444736607787,20.5351806821042,1.15124479038171
"AH1",2.5224506492731,24.599777897833,5.08406071061687
"BVic",1.86666462803997,19.9842714065582,2.21411471403363
"AH1",2.79531451498665,14.9621124680429,5.21371123525925
"BVic",1.72689194824934,19.2571485743451,10.5341609128179
"BVic",1.88841246734288,20.7086390116765,3.0379732102646
"BVic",1.81966132998267,22.0965138012463,4.35708846564522
"AH1",1.36513240152803,21.5977994114712,1.24596744955284
"BVic",1.12304619338712,20.2943101252792,1.38576955358298
"BVic",1.6667173019466,20.1243152143508,2.99428239651513
"AH1",1.7479599206683,23.5265587190157,1.52036245323777
"BVic",3.22858768615187,18.5871385235753,11.419363763729
"AH1",3.22793057821177,11.5881283281681,4.64885186362291
"BVic",1.57618556019103,21.4098650326937,2.23357335553885
"BVic",1.66344778680949,16.8360008545648,2.4930888948815
"AH1",1.6772105574361,22.9714610313297,1.69399232986036
"AH1",2.19258969622666,18.3732290537505,1.95485888901233
"AH1",1.65444493175846,23.4153469810377,1.43575001882452
"BVic",1.79653183475962,20.6363859449603,2.30592423470067
"BVic",1.46248608994032,21.3643657371749,2.26464736711854
"BVic",1.06025411619736,20.398973965042,1.30223883143889
"AH1",1.85712896450323,27.2258116840208,12.1727165517115
"BVic",1.85504932505482,18.6456185801773,2.11616811560538
"AH1",2.70652075543811,21.5729800708396,4.29076683709605
"AH1",2.73303225016678,19.9486526513354,4.9938430128312
"AH1",1.55474846812843,23.0447655793083,1.34876502047081
"BVic",2.87560609452953,15.3940579864623,9.52852286963881
"AH1",3.04990548621371,18.1043405909902,6.50741211672867
"BVic",6.65404687341121,23.979719199932,9.62248502923117
"BVic",1.75186853007524,21.3849201117077,2.64908175601615
"AH1",2.86154431703166,19.8491525207545,4.39970655223689
"AH1",1.864112246732,23.8357471796683,1.97305780933133
"AH1",1.94481632174679,18.9391668158271,1.39036494829909
"BVic",1.36686333956276,21.0856372052036,2.0202969013575
"BVic",1.41387852721675,18.5771990061598,9.43418200460895
"BVic",2.40504863964644,18.0244913747819,5.29944283540387
"BVic",1.29548597399265,25.513853503603,17.5788804682106
"AH1",2.69737160078988,24.1453242963886,2.56342657981987
"AH1",1.99115520488609,20.8371849036855,1.82742138869466
"AH1",2.19440703702728,19.75735064154,4.24186097927597
"AH1",1.76458531570916,26.3333713337931,11.4061015708543
"BVic",1.68616848206174,20.5298927777523,2.53320003895394
"BVic",1.13116497338628,20.5606717827492,1.34661701420216
"BVic",1.53381274097749,21.5069037069288,1.99475067622895
"AH1",1.50306632475083,21.6822267982764,1.05903926845408
"BVic",13.2603139471126,27.6915386552862,12.2723271695248
"AH1",2.94833482971315,15.8518491154318,12.1802552854366
"BVic",1.67522992178697,18.0200338933854,2.18390223678613
"BVic",1.30840680611428,20.4706679910301,1.1694591219635
"BVic",1.76337643422781,20.0279791394597,4.45548660509713
"AH3",1.24496453040312,19.1019709637367,1.32376349885002
"AH1",2.08084185948976,22.9344430408747,2.03180236212779
"AH1",2.0328544004654,21.8354316377814,2.16289941752931
"AH3",1.33270152312747,20.1831558702928,1.52015274436942
"AH1",2.59633898309098,22.3852633151776,10.0643648263826
"BVic",2.56177603842206,21.1833161489164,3.02893473320472
"AH1",3.00928960323372,15.8303546552827,4.79257548819053
"AH1",3.4793366280849,14.3470265278605,8.74599455154627
"BVic",1.50716674083962,24.9265173411246,17.0614921769747
"BVic",1.94629921448311,22.5748650142372,4.73364276876833
"AH1",2.82132322335984,18.651477820842,4.65752974639123
"AH1",2.11683550752692,22.4239204558531,4.01255975155558
"BVic",1.69612030543342,18.8342329344006,2.54099472719568
"AH1",1.98757869106629,22.3229816159885,2.13992719978974
"AH1",2.03805276810171,22.4408192766322,2.10394293091543
"AH1",3.91390543071505,21.8494421418082,5.36612035284226
"AH3",3.59244063386167,20.3039645185512,4.37892170143381
"AH1",3.64767521681967,21.1313162114062,4.9167147945981
"AH3",1.9590718425591,20.3071705735134,2.65472898215578
"AH1",4.86442754994224,16.7257469413171,3.53853672452619
"BVic",1.76469220783649,17.0988557610358,6.58769773601427
"BVic",1.64356278933328,22.8479878038191,3.96889417902869
"BVic",3.32869062833879,20.1362177476738,12.6410917732226
"BVic",1.6559469803274,21.450507940163,2.58560843303954
"AH1",2.20093027399728,20.331373852923,2.38754563824478
"BVic",3.54688894950959,21.0142206563251,3.31131292389039
"BVic",1.65480082659301,21.1862399833985,2.43768429334482
"BVic",3.27103731730355,21.5924204984848,3.00268240134662
"BVic",1.65066252185667,18.9243044432246,2.99623322924707
"BVic",1.8800780769461,20.7912581583743,9.05854917043268
"AH1",1.66701781527686,19.9680413515481,2.08142654299515
"AH1",2.24936787632005,18.4081026101445,2.36766087474869
"BVic",3.06229700956644,16.4631254149645,4.46519530874435
"BVic",1.82750858702655,21.3005380945089,2.90092863345389
"AH3",1.84466312826172,20.279596353549,1.91763961115118
"AH1",2.16380512393533,23.613879861554,1.98617262056637
"AH1",2.32086668615531,21.1380422702478,3.70303892686216
"BVic",1.67461565060348,21.3382516771268,2.33111253385528
"BVic",1.44245393611093,20.4010064465035,1.41452413851936
"AH1",4.93306447037016,20.8671875692446,4.11178022100418
